"","2028-09-22","2028-09-23","2028-09-30","2028-10-06","2028-10-07","2028-10-14","2028-10-20","2028-10-21","2028-10-27","2028-10-28","2028-11-03"
"AUG","v CAR","@ MAC","v GAC","v SCU","v GAC","v GAC","v CAR","v GAC","@ GAC","v STO","v CAR"
"BU","@ HU","@ SMU","v CSS","@ MAC","v CON","v SCU","@ STO","@ MAC","@ STO","v CSB","@ SCU"
"CAR","@ AUG","@ CON","@ SCU","v HU","v HU","v CSB","@ AUG","v STO","@ CON","v SMU","@ AUG"
"CON","@ SMU","v CAR","@ SMU","@ SMU","@ BU","v STO","@ SMU","@ SCU","v CAR","v HU","v GAC"
"GAC","v CSB","v STO","@ AUG","v CSB","@ AUG","@ AUG","@ CSS","@ AUG","v AUG","@ CSS","@ CON"
"HU","v BU","v CSB","@ CSB","@ CAR","@ CAR","v SMU","v SCU","@ CSB","@ SMU","@ CON","@ CSB"
"MAC","v STO","v AUG","@ STO","v BU","v STO","v CSS","@ CSB","v BU","@ CSS","v SCU","@ CSS"
"CSB","@ GAC","@ HU","v HU","@ GAC","@ SMU","@ CAR","v MAC","v HU","@ SCU","@ BU","v HU"
"SCU","v CSS","v CSS","v CAR","@ AUG","v CSS","@ BU","@ HU","v CON","v CSB","@ MAC","v BU"
"SMU","v CON","v BU","v CON","v CON","v CSB","@ HU","v CON","@ CSS","v HU","@ CAR","v STO"
"STO","@ MAC","@ GAC","v MAC","v CSS","@ MAC","@ CON","v BU","@ CAR","v BU","@ AUG","@ SMU"
"CSS","@ SCU","@ SCU","@ BU","@ STO","@ SCU","@ MAC","v GAC","v SMU","v MAC","v GAC","v MAC"
